key,issuetype,status,resolution,assignee_name,assignee_accountId,parent_key,labels,reporter_name,created,summary
CDM-609,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-80,CDM-Tools|DQR_Listings,Eric Dixon,2025-08-26,DELFI-L201: Clario Enrollment CT Nodule Extractions DQR
CDM-610,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-80,CDM-Tools|DQR_Listings,Eric Dixon,2025-09-10,DELFI-L201: Clario Case Tracker - LTFUVI Case Tracker
CDM-611,Task,Done,Done,,,CDM-80,,Eric Dixon,2025-09-11,"DELFI-L201: Add LT_CON, RECON, and VISDT_LT parque data to pipeline"
CDM-612,Task,To Do,,,,CDM-80,,Eric Dixon,2025-09-15,Enrollment LDCT ADaM Derivation
CDM-613,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-80,Ad_Hoc_Report|CDM-Tools|DQR_Listings,Eric Dixon,2025-09-17,DELFI-L201: Lung RADS Not Reported Listing - PPD Ad Hoc Listing
CDM-614,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-80,Ad_Hoc_Report|CDM-Tools|DQR_Listings,Eric Dixon,2025-09-17,DELFI-L201: Lung RADS 0 Listing - PPD Ad Hoc Listing
CDM-615,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-80,Ad_Hoc_Report|CDM-Tools|DQR_Listings,Eric Dixon,2025-09-17,DELFI-L201: 12M Negative Biopsy Listing - PPD Ad Hoc Listing
CDM-616,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-80,Ad_Hoc_Report|CDM-Tools|DQR_Listings,Emily Larsen,2025-09-18,DELFI-L201: LTFUV1 Expected - PPD Ad Hoc Listing
CDM-617,Subtask,To Do,,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-609,,Eric Dixon,2025-09-29,Fix spelling error for nolocot variable and correct mutate logic for other specify not expected column
CDM-618,Subtask,To Do,,,,CDM-340,,Eric Dixon,2025-10-17,DELFI-L201 Derived RADS Score Review: Fix duplicate record issue
CDM-619,Subtask,To Do,,,,CDM-158,,Eric Dixon,2025-10-17,DELFI-L201 Participant Disposition Review: Fix duplicate record issue
CDM-620,Task,To Do,,,,CDM-80,,Eric Dixon,2025-10-22,DELFI-L201: Fix API request limit issue caused while running cdm_export_ppd_adhoc_site_reports.R 
CDM-621,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-80,Ad_Hoc_Report|CDM-Tools,Eric Dixon,2025-10-24,DELFI-L201: Status Data for ClinOps Reporting Tool
CDM-622,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-80,Ad_Hoc_Report|CDM-Tools|DQR_Listings,Eric Dixon,2025-10-24,DELFI-L201: Clario Case Tracker - Nodule Review Tracker
CDM-623,Subtask,To Do,,,,CDM-622,,Eric Dixon,2025-10-24,DELFI-L201: Add new columns to confirm that the clario forms are complete and to confirm that the oversight review has resolved
CDM-624,Subtask,To Do,,,,CDM-622,,Eric Dixon,2025-10-28,DELFI-L201: Add Clario Latest Raw last run time
CDM-625,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-80,,Eric Dixon,2025-10-28,DELFI-L201 Status Data for ClinOps Reporting Ad Hoc Report
CDM-626,Task,To Do,,,,CDM-80,,Eric Dixon,2025-10-30,DELFI-L201: Clario Case Tracker - 12MFU Case Tracker
CDM-627,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-626,,Eric Dixon,2025-10-30,Fix clario_case_tracker_adsl_12mfu_data_processing() filter issue
CDM-628,Subtask,To Do,,,,CDM-625,,Eric Dixon,2025-11-14,LTFU Expected Cases: Performed vs Pending Metrics
CDM-629,Task,To Do,,,,CDM-80,,Eric Dixon,2025-11-20,DELFI-L201: Protocol Team Ad hoc request
CDM-630,Subtask,Done,Done,,,CDM-620,,Eric Dixon,2025-12-01,DELFI-L201: Increase sleep duration and set reports to run on Saturdays only
CDM-631,Task,To Do,,Erica Peters,627d4ac1f29dcb0068f9a5e1,CDM-467,,Erica Peters,2025-12-08,Updates and fixes for L301 DBL
CDM-632,Task,To Do,,,,CDM-80,,Eric Dixon,2025-12-18,DELFI-L201 LTFU Visit Admin Letter Ad Hoc Site Listing
CDM-633,Task,To Do,,,,CDM-80,DQR_Listings,Eric Dixon,2026-01-07,DELFI-L201: Medical History Amendment 3 Field Entry
CDM-634,Task,Done,Done,Payam Khodabakhshi,624761f91da0e100713b0ac3,CDM-80,,Eric Dixon,2026-01-20,DELFI-L201: Seqster Data Request v1
CDM-635,Task,To Do,,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-80,DQR_Listings,Eric Dixon,2026-02-01,DELFI-L101: PPD Report - Missing Data - EDC Release v4
CDM-636,Task,To Do,,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-80,,Eric Dixon,2026-02-01,DELFI-L201: Update Config to reference latest DBMOD supplemental files
CDM-637,Task,To Do,,,,,,Eric Dixon,2026-02-01,DELFI-L201: Clario Case Tracker - MM Clario Case Tracker
CDM-638,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-80,CDM-Tools|DQR_Listings,Eric Dixon,2026-02-02,DELFI-L201: Clario Case Tracker - Confirmed Lung Cancers
CDM-639,Subtask,To Do,,,,CDM-638,,Eric Dixon,2026-02-02,Fix - confirmed cancers and non-cancers are not populating in the tables.
CDM-640,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-80,CDM-Tools|DQR_Listings,Eric Dixon,2026-02-02,DELFI-L201: Clario Case Tracker - Confirmed Non-Lung Cancers
CDM-641,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-80,CDM-Tools|DQR_Listings,Eric Dixon,2026-02-02,DELFI-L201: Clario Case Tracker - MM Provisional Case Tracker 
CDM-642,Subtask,To Do,,,,CDM-641,,Eric Dixon,2026-02-02,Updated MM Provisional Case Tracker to include LTFUV cases
CDM-643,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-174,CDM-Tools,Eric Dixon,2026-02-05,Add new columns to subject information table
CDM-644,Subtask,To Do,,,,CDM-174,,Eric Dixon,2026-02-06,DELFI-L201 Clean Patient Tracker - edc page status development
CDM-645,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-145,,Eric Dixon,2026-02-19,"Add additional columns for LTFU visit dates, logic for 12 month Not Applicable forms, and Site Level summary sheet"
CDM-646,Task,Done,Done,Tony Wu,712020:3d0c4367-a9fa-439d-a411-7df0463e6e99,CDM-80,,Tony Wu,2026-02-23,Create a daily report for missing pages
CDM-647,Task,Done,Done,,,,,Eric Dixon,2026-02-24,DELFI-L201: Inactive Participant List - Add site number column
CDM-648,Task,Done,Done,Tony Wu,712020:3d0c4367-a9fa-439d-a411-7df0463e6e99,CDM-80,,Tony Wu,2026-02-26,Remove filter for missing pages CPT tab
CDM-649,Subtask,Done,Done,Tony Wu,712020:3d0c4367-a9fa-439d-a411-7df0463e6e99,CDM-610,,Eric Dixon,2026-02-26,"Add MM Comments column to the 4 Month Case Tracker, 12 Month Case Tracker, and LTFU Case Tracker"
CDM-650,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-80,IVD_L201_Validation|threshold_release,Eric Dixon,2026-02-26,DELFI-L201: Threshold Release - Clinical Data Cleaning Plan
CDM-651,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-650,,Eric Dixon,2026-02-26,DELFI-L201: Threshold Analysis - Draft CDCP & send to team for review
CDM-652,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-650,,Eric Dixon,2026-02-26,DELFI-L201: Threshold Analysis - Team review of draft CDCP
CDM-653,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-650,,Eric Dixon,2026-02-26,DELFI-L201: Threshold Analysis - Incorporate feedback on CDCP
CDM-654,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-650,,Eric Dixon,2026-02-26,DELFI-L201: Threshold Analysis - Finalize and Sign CDCP
CDM-655,Task,Refining,,,,CDM-80,IVD_L201_Validation|threshold_release,Eric Dixon,2026-02-26,DELFI-L201: Threshold Release - Cleaning Activities
CDM-656,Subtask,To Do,,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-655,,Eric Dixon,2026-02-26,DELFI-L201: Threshold Release - Create Clean Patient Tracker for study level clean status metrics
CDM-657,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-655,,Eric Dixon,2026-02-26,DELFI-L201: Threshold Release - Add clean patient tracker columns for clean status specific to the threshold release
CDM-658,Subtask,To Do,,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-655,,Eric Dixon,2026-02-26,DELFI-L201: Threshold Release - All Data Quality Reviews in Reviewed-Queried State and all queries issued
CDM-659,Subtask,To Do,,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-655,,Eric Dixon,2026-02-26,DELFI-L201: Threshold Release - All Data Quality Reviews in Reviewed Status and Answered Queries Closed
